SYMBOL,HIGH,LOW,DAILY RANGE
BAGFILMS,1.9,1.8,0.100000024
BAJAJ-AUTO,3099,3060,39.0
BAJAJCON,232.5,226.5,6.0
BAJAJELEC,392,380.65,11.350006
BAJAJFINSV,9929,9649,280.0
BAJAJHIND,6.7,6.4,0.2999997
BAJAJHLDNG,3428,3260,168.0
BAJFINANCE,4444,4215.1,228.8999
BALAJITELE,56,52.7,3.2999992
BALAMINES,476.3,463.05,13.25
BALAXI,79,69.9,9.099998
BALKRISHNA,18.25,17.7,0.54999924
BALKRISIND,1103,1075.8,27.199951
BALLARPUR,0.6,0.55,0.050000012
BALMLAWRIE,124.4,117.3,7.0999985
BALPHARMA,50.9,48,2.9000015
BALRAMCHIN,175.8,168.4,7.400009
BANARBEADS,34.9,33.25,1.6500015
BANARISUG,1515,1463.45,51.55005
BANCOINDIA,104.85,103,1.8499985
BANDHANBNK,466,445.25,20.75
BANG,23.95,22.15,1.8000011
BANKBARODA,94.2,93.35,0.8499985
BANKBEES,316.9,314.55,2.350006
BANKINDIA,67.2,66.2,1.0
BANSWRAS,124,116.8,7.199997
BARTRONICS,1.3,1.3,0.0
BASF,1020.85,996,24.849976
BASML,144,132.1,11.899994
BATAINDIA,1860,1822,38.0
BAYERCROP,4150,4090,60.0
BBL,860,850,10.0
BBTC,1203.8,1170.15,33.650024
BCG,4.95,4.55,0.39999962
BCP,22.4,20.9,1.5
BDL,310.95,296,14.950012
BEARDSELL,9.25,8.6,0.6499996
BEDMUTHA,16.5,15.8,0.6999998
BEL,101.15,99.7,1.4500046
BEML,999.8,985,14.799988
BEPL,54.9,52.05,2.8500023
BERGEPAINT,574.85,560.75,14.099976
BETA,74.35,70.1,4.25
BFINVEST,325.05,316.65,8.399994
BFUTILITIE,327.5,307.35,20.149994
BGLOBAL,1.4,1.4,0.0
BGRENERGY,42.1,39,3.0999985
BHAGERIA,117.95,114.05,3.899994
BHAGYANGR,22.45,21.3,1.1500015
BHAGYAPROP,23.75,22.8,0.95000076
BHANDARI,1.25,1.15,0.100000024
BHARATFORG,512.7,499.8,12.900024
BHARATGEAR,67.65,65.05,2.5999985
BHARATRAS,6680,6444,236.0
BHARATWIRE,28.9,27.05,1.8500004
BHARTIARTL,501.4,488.25,13.149994
BHEL,45.1,43.6,1.5
BIGBLOC,38,37.75,0.25
BIL,182.55,172.1,10.449997
BILENERGY,0.95,0.9,0.050000012
BINDALAGRO,16,14.65,1.3500004
BIOCON,303.9,289,14.899994
BIOFILCHEM,12.45,11.6,0.8499994
BIRLACABLE,59.5,57.9,1.5999985
BIRLACORPN,770,728,42.0
BIRLAMONEY,35.7,34.8,0.9000015
BKMINDST,0.55,0.5,0.050000012
BLBLIMITED,5.1,4.7,0.4000001
BLISSGVS,144.85,142.5,2.350006
BLKASHYAP,9.4,9.05,0.34999943
BLS,68.7,66.5,2.199997
BLUEBLENDS,0.75,0.7,0.050000012
BLUEDART,2784,2602,182.0
BLUESTARCO,887.55,832.05,55.5
BODALCHEM,74.75,73.15,1.5999985
BOHRA,1.3,1.3,0.0
BOMDYEING,98.4,91.2,7.2000046
BOROSIL,179.8,173.5,6.300003
BOSCHLTD,14886.95,14665.45,221.5
BPCL,486.9,476.65,10.25
BPL,22.5,22,0.5
BRFL,4.25,4,0.25
BRIGADE,233.6,226.6,7.0
BRITANNIA,3245.5,3190.05,55.44995
BRITANNIA,31.98,31.66,0.3199997
BRNL,72.4,67,5.4000015
BROOKS,41.7,39.05,2.6500015
BSE,545.95,537.25,8.700012
BSELINFRA,1.1,1.05,0.05000007
BSHSL,109.5,107,2.5
BSL,37.15,34.8,2.3500023
BSLGOLDETF,3738,3643.3,94.69995
BSOFT,72.5,71.3,1.199997
BURNPUR,1.25,1.15,0.100000024
BUTTERFLY,264,251,13.0
BVCL,13.05,12.85,0.19999981
BYKE,21.9,20.5,1.3999996
CADILAHC,275.85,271,4.850006
CADSYS,32.9,32.9,0.0
CALSOFT,15.2,14.15,1.0500002
CAMLINFINE,83.9,79.3,4.5999985
CANBK,207.9,203.55,4.349991
CANDC,2.2,2,0.20000005
CANFINHOME,495.8,472.65,23.149994
CANTABIL,270.85,262.3,8.550018
CAPACITE,199.7,194.1,5.599991
