SYMBOL,HIGH,LOW,DAILY RANGE
IBUCCREDIT,840.6,840.6,0.0
IBUCCREDIT,830.9,830.9,0.0
IBULHSGFIN,328.4,313.7,14.699982
IBULHSGFIN,1167,1160,7.0
IBULHSGFIN,799,799,0.0
IBULHSGFIN,760,760,0.0
IBULISL,125.25,117,8.25
IBVENTURES,74.5,71.4,3.0999985
IBVENTURES,178.75,175,3.75
ICFL,955,953.1,1.9000244
ICFL,950,928,22.0
ICFL,921,921,0.0
ICFL,985,912,73.0
ICFL,925,925,0.0
ICFL,963,960,3.0
ICFL,950,925,25.0
ICFL,852.05,851,1.0499878
ICICI500,164.99,161.03,3.9600067
ICICIB22,34.2,33.71,0.49000168
ICICIBANK,534.8,525.3,9.5
ICICIBANKN,315,308.95,6.049988
ICICIBANKP,172.11,170.54,1.5700073
ICICIGI,1348.45,1322,26.449951
ICICIGOLD,36.7,35.65,1.0499992
ICICILIQ,1000,999.95,0.049987793
ICICILOVOL,93.91,93.06,0.8500061
ICICIM150,70,62.15,7.8499985
ICICIMCAP,70.3,69,1.300003
ICICINF100,132.12,130.95,1.1699982
ICICINIFTY,128.54,122.2,6.3399963
ICICINV20,58.55,57.63,0.91999817
ICICINXT50,30.27,29.14,1.1300011
ICICIPRULI,533.1,519.9,13.199951
ICICISENSX,443,437.89,5.1099854
ICIL,56,53.95,2.0499992
ICRA,2975,2880,95.0
IDBI,35.6,34.4,1.199997
IDBIGOLD,3736.4,3694,42.399902
IDEA,5.7,5.15,0.5499997
IDFC,37.1,36.8,0.29999924
IDFCFIRSTB,44.65,43.4,1.25
IDFCFIRSTB,4975,4970.9,4.1000977
IDFCFIRSTB,9940,9925,15.0
IDFCFIRSTB,5200,5200,0.0
IDFCFIRSTB,9775,9731,44.0
IDFCFIRSTB,9360,9334.01,25.990234
IDFNIFTYET,129,122.1,6.9000015
IEX,171.85,166,5.850006
IFBAGRO,448.95,421,27.950012
IFBIND,664,618,46.0
IFCI,6.5,6.4,0.099999905
IFCI,982,980,2.0
IFCI,945.09,944,1.0900269
IFCI,1475,1475,0.0
IFGLEXPOR,158,151.5,6.5
IGARASHI,331.9,315.05,16.850006
IGL,515.55,506.55,9.0
IGPL,179.4,170.1,9.299988
IIFCL,1290,1280,10.0
IIFL,172,165.4,6.600006
IIFLFIN,984.85,984.85,0.0
IIFLFIN,1088,1088,0.0
IIFLFIN,995,989.9,5.0999756
IIFLFIN,991.5,991.5,0.0
IIFLFIN,990,990,0.0
IIFLFIN,1040,1028.1,11.900024
IIFLFIN,996,996,0.0
IIFLFIN,998.1,998.1,0.0
IIFLFIN,931.1,931,0.099975586
IIFLSEC,54.5,50.55,3.9500008
IIFLWAM,1300,1272.95,27.050049
IIHFL,1013,1010.45,2.5499878
IIHFL,1952,1950,2.0
IITL,62.5,61.05,1.4500008
IL&FSENGG,1.95,1.85,0.100000024
IL&FSTRANS,1.85,1.75,0.100000024
IMFA,226.6,212.15,14.450012
IMPAL,594,575,19.0
IMPEXFERRO,0.4,0.35,0.050000012
INDBANK,8.95,8,0.9499998
INDHOTEL,142.35,139.5,2.850006
INDIACEM,88.3,86.1,2.2000046
INDIAGLYCO,301,286.4,14.600006
INDIAMART,2358.45,2320,38.44995
INDIANB,105.2,103.3,1.8999939
INDIANCARD,122.5,122,0.5
INDIANHUME,236.6,230,6.600006
INDIGO,1480.35,1436.55,43.799927
INDIGRID,94.85,94.17,0.6800003
INDLMETER,22.05,22.05,0.0
INDNIPPON,409.5,397.35,12.149994
INDOCO,235,220,15.0
INDORAMA,24,23.6,0.39999962
INDOSOLAR,0.8,0.75,0.050000012
INDOSTAR,282.4,264.15,18.25
INDOTECH,116,113.05,2.949997
INDOTHAI,24.9,24,0.8999996
INDOWIND,3.15,2.95,0.20000005
INDRAMEDCO,50.7,45.15,5.549999
INDSWFTLAB,24.35,23.8,0.55000114
INDSWFTLTD,3.65,3.4,0.25
INDTERRAIN,76.4,67,9.400002
INDUSINDBK,1276.7,1251,25.699951
INEOSSTYRO,804,765,39.0
INFIBEAM,60.4,54.9,5.5
INFOBEAN,89.75,82.15,7.5999985
INFRABEES,345,345,0.0
INFRATEL,246.9,238.35,8.549988
INFY,792.8,784.25,8.549988
INGERRAND,678,663.95,14.049988
INNOVANA,103.5,102.3,1.199997
INOXLEISUR,408.7,404.1,4.600006
INOXWIND,43.2,41.15,2.0499992
INSECTICID,589,555.15,33.849976
INSPIRISYS,39.95,37.3,2.6500015
INTEGRA,0.65,0.55,0.099999964
INTELLECT,173.45,170.5,2.949997
INTENTECH,28.95,26.1,2.8500004
INVENTURE,14.4,13.6,0.79999924
IOB,10.85,10.45,0.40000057
IOC,119.95,117.8,2.149994
IOLCP,192.7,185.3,7.399994
IPCALAB,1252.9,1223,29.900024
IRB,114.75,112,2.75
IRBINVIT,52.8,52.06,0.73999786
IRCON,495,459,36.0
IRCTC,1129.9,1063.5,66.400024
IREDA,1300,1295,5.0
IREDA,1370,1365,5.0
IRFC,1070,1069,1.0
IRFC,1157,1153.05,3.9499512
IRFC,1431.94,1431.94,0.0
IRFC,1160.01,1160.01,0.0
IRFC,1285,1263.6,21.400024
IRFC,1308,1307,1.0
IRFC,1161,1161,0.0
IRFC,1172.01,1170.6,1.4100342
IRFC,1165,1165,0.0
ISEC,479.35,464,15.350006
ISFT,82.95,81.4,1.5499954
ISMTLTD,4.5,4.25,0.25
ITC,237.65,231.15,6.5
ITDC,303.4,296.5,6.899994
ITDCEM,64.35,61.55,2.7999992
ITI,88.5,82.45,6.050003
IVC,3.45,3.35,0.10000014
IVP,53.25,51.55,1.7000008
IVZINNIFTY,1310.65,1310.65,0.0
IZMO,24.7,24,0.70000076
J&KBANK,27.9,27.3,0.6000004
JAGRAN,70.3,68.7,1.6000061
JAGSNPHARM,29.5,27.8,1.7000008
JAIBALAJI,31,26,5.0
JAICORPLTD,113.8,110.05,3.75
JAKHARIA,180,180,0.0
JALAN,4.3,4.3,0.0
JAMNAAUTO,44.5,43.55,0.95000076
JASH,138,129.2,8.800003
JAYAGROGN,128,123.3,4.699997
JAYBARMARU,243.95,236,7.949997
JAYNECOIND,4.15,3.8,0.35000014
JAYSREETEA,54.7,52.6,2.1000023
JBCHEPHARM,518.5,493,25.5
JBFIND,8.5,8.5,0.0
JBMA,262,252.45,9.550003
JCHAC,2394,2325,69.0
JETAIRWAYS,35.85,32.7,3.1499977
JHS,15.4,14.75,0.6499996
JIKIND,0.35,0.25,0.099999994
JINDALPHOT,14.5,13.15,1.3500004
JINDALPOLY,256,245.35,10.649994
JINDALSAW,95.95,93.35,2.5999985
JINDALSTEL,181,170.6,10.399994
JINDCOT,1.8,1.7,0.099999905
JINDRILL,119.8,112.4,7.4000015
JINDWORLD,64.35,60,4.3499985
JISLDVREQS,8,7.6,0.4000001
JISLJALEQS,8.15,7.7,0.4499998
JITFINFRA,9.8,9,0.8000002
JIYAECO,25.55,23.6,1.9499989
JKCEMENT,1409.05,1375,34.05005
JKIL,156.95,154,2.949997
JKLAKSHMI,388,366.25,21.75
JKPAPER,134,131.5,2.5
JKTYRE,84.4,82.25,2.1500015
JMA,28,27,1.0
JMCPROJECT,99.7,98.15,1.5499954
JMFINANCIL,106.7,102.65,4.0499954
JMTAUTOLTD,1.35,1.3,0.05000007
JOCIL,125.8,121.55,4.25
JPASSOCIAT,2.05,2,0.049999952
JPINFRATEC,1.25,1.2,0.049999952
JPOLYINVST,14.6,14,0.6000004
JPPOWER,2.1,2.05,0.049999952
JSL,43.9,42.65,1.25
JSLHISAR,78.45,76.55,1.8999939
JSWENERGY,67.9,65.7,2.2000046
JSWHL,2499.9,2346.65,153.25
JSWSTEEL,264.6,258.3,6.3000183
JSWSTEEL,1.25,1.2,0.049999952
JTEKTINDIA,88.2,85.85,2.3499985
JUBILANT,613,592.85,20.150024
JUBLFOOD,1776,1718.2,57.80005
JUBLINDS,151.35,145,6.350006
JUMPNET,54,52.5,1.5
JUNIORBEES,303,300.15,2.850006
JUSTDIAL,603.7,587.5,16.200012
JVLAGRO,0.5,0.45,0.050000012
JYOTHYLAB,160.55,154,6.550003
KABRAEXTRU,75.45,71.2,4.25
KAJARIACER,582.9,568.55,14.350037
KAKATCEM,239.75,222.5,17.25
KALPATPOWR,455,447.9,7.100006
KALYANIFRG,169.9,165.1,4.799988
KAMATHOTEL,42.9,41.2,1.7000008
KAMDHENU,96.25,92.5,3.75
KANANIIND,3.15,2.85,0.3000002
KANORICHEM,44.4,43.05,1.3500023
KANSAINER,517,512,5.0
KARDA,136.95,135,1.949997
KARMAENG,14.4,13.3,1.0999994
KARURVYSYA,52.25,49.2,3.0499992
KAUSHALYA,0.5,0.45,0.050000012
KAVVERITEL,1.9,1.9,0.0
KAYA,423.9,391.5,32.399994
KCP,69.25,66.1,3.1500015
KCPSUGIND,16.1,15.3,0.8000002
KDDL,294.8,271.7,23.099976
KEC,347.95,338.15,9.800018
KECL,18.8,18.2,0.5999985
KEI,579.9,554.5,25.400024
KELLTONTEC,19.4,17.25,2.1499996
KENNAMET,1082,1045.85,36.150024
KERNEX,19,18.05,0.95000076
KESORAMIND,55.45,54.4,1.0499992
KEYFINSERV,36.5,36.5,0.0
KGL,0.35,0.25,0.099999994
KHADIM,174.7,170.7,4.0
KHAITANLTD,20.55,19.55,1.0
KHFM,31,31,0.0
KICL,1783,1750,33.0
KILITCH,125.1,123,2.0999985
KINGFA,684.2,662.45,21.75
KIOCL,126.95,119.35,7.5999985
KIRIINDUS,392,385,7.0
KIRLFER,75.2,72.3,2.899994
KIRLOSBROS,151.6,146,5.600006
KIRLOSENG,156.35,150.65,5.700012
KIRLOSIND,690,662,28.0
KITEX,127,122.2,4.800003
KKCL,1099,960,139.0
KMSUGAR,8.95,8.5,0.4499998
KNRCON,302.5,291.6,10.899994
KOHINOOR,9.25,8.8,0.4499998
KOKUYOCMLN,84.85,80.1,4.75
KOLTEPATIL,262.9,254.2,8.699997
KOPRAN,36,34.5,1.5
KOTAKBANK,1646.2,1623.05,23.149902
KOTAKBKETF,321,316.25,4.75
KOTAKGOLD,359,354.5,4.5
KOTAKNIFTY,126.29,125.02,1.2700043
KOTAKNV20,59.37,58.31,1.0599976
KOTAKPSUBK,237,234.64,2.3600006
KOTARISUG,14.5,13.65,0.8500004
KOTHARIPET,19.5,18.3,1.2000008
KOTHARIPRO,81.4,75.8,5.5999985
KPITTECH,103.25,97,6.25
KPRMILL,702.85,679.85,23.0
KRBL,294.7,271.45,23.25
KREBSBIO,94.5,89.15,5.3499985
KRIDHANINF,2.45,2.25,0.20000005
KRISHANA,53.1,53.1,0.0
KRITIKA,34.25,34.25,0.0
KSB,749.8,723.95,25.849976
KSCL,488.75,473,15.75
KSERASERA,0.15,0.1,0.050000004
KSHITIJPOL,28,28,0.0
KSK,0.55,0.5,0.050000012
KSL,249.4,228.2,21.199997
KTKBANK,76.45,75.3,1.1499939
KUANTUM,520,507,13.0
KWALITY,2.2,2,0.20000005
L&TFH,120.5,119,1.5
L&TFINANCE,1079.9,1075,4.9000244
L&TFINANCE,1035,1035,0.0
L&TFINANCE,1070,1064.99,5.01001
L&TFINANCE,1067,1067,0.0
L&TFINANCE,1005,1002,3.0
L&TFINANCE,1011,1010,1.0
L&TFINANCE,1025,1025,0.0
L&TFINANCE,1017.45,1015,2.4500122
L&TINFRA,1027,985.1,41.900024
L&TINFRA,1945,1934,11.0
L&TINFRA,983.13,983.1,0.030029297
L&TINFRA,1891,1889.9,1.0999756
L&TINFRA,1990,1970.5,19.5
LAKPRE,2.2,2.2,0.0
LAKSHVILAS,15.9,15.45,0.4499998
LALPATHLAB,1785.8,1757,28.800049
LAMBODHARA,37.75,36.05,1.7000008
LAOPALA,194,186.15,7.850006
LASA,31.95,31.95,0.0
LAURUSLABS,440,425.3,14.700012
LAXMIMACH,3428.55,3333.1,95.44995
LEMONTREE,55.35,53.5,1.8499985
LFIC,54.85,50.05,4.799999
LGBBROSLTD,328,318.05,9.950012
LGBFORGE,3.45,3.25,0.20000005
LIBAS,49,46.9,2.0999985
LIBERTSHOE,152.4,148.5,3.899994
LICHSGFIN,465,456,9.0
LICNETFGSC,20.5,19.63,0.87000084
LICNETFN50,126,123,3.0
LICNETFSEN,509.9,490,19.899994
LICNFNHGP,127,125.1,1.9000015
LINCOLN,212,206.5,5.5
LINCPEN,240,226.1,13.899994
LINDEINDIA,792,736.65,55.349976
LIQUIDBEES,1000.01,999.25,0.76000977
LIQUIDETF,1000.01,999.99,0.020019531
LOKESHMACH,34.45,33.25,1.2000008
LOTUSEYE,29.45,26.55,2.9000015
LOVABLE,78.45,75.15,3.2999954
LPDC,1.5,1.4,0.100000024
LSIL,0.55,0.45,0.100000024
LT,1374.95,1352.1,22.849976
LTI,1965,1942.3,22.699951
LTTS,1749,1705.3,43.69995
LUMAXIND,1525,1450,75.0
LUMAXTECH,113.85,110.8,3.0499954
LUPIN,752.75,743.55,9.200012
LUXIND,1509,1445,64.0
LYKALABS,21.8,21.1,0.69999886
LYPSAGEMS,6.2,5.6,0.5999999
M&M,580.7,572.15,8.549988
M&MFIN,379.5,358.4,21.100006
M&MFIN,1069,1065,4.0
M&MFIN,1355,1355,0.0
M100,19.49,19.22,0.27000046
M17RD,5.3,5.3,0.0
M50,119.46,118.19,1.2699966
MAANALU,70.9,66.5,4.4000015
MACPOWER,60,60,0.0
MADHAV,35,31.4,3.6000004
MADHUCON,3.65,3.35,0.3000002
MADRASFERT,22.2,21.55,0.6500015
MAGADSUGAR,134.5,125.7,8.800003
MAGMA,62.6,60.1,2.5
MAGNUM,3.55,3.4,0.14999986
MAHABANK,13.1,12.85,0.25
MAHAPEXLTD,99.75,91.15,8.599998
MAHASTEEL,99.9,92.1,7.800003
MAHESHWARI,302,270.2,31.799988
MAHICKRA,89.2,89.2,0.0
MAHINDCIE,179.45,173.2,6.25
MAHLIFE,408.75,400,8.75
MAHLOG,425,414.6,10.399994
MAHSCOOTER,4450,4280,170.0
MAHSEAMLES,398.95,392.5,6.450012
MAITHANALL,573.45,550,23.450012
MAJESCO,414.25,404.05,10.200012
MALUPAPER,36.5,34.15,2.3499985
MAN50ETF,123.3,122.65,0.6500015
MANAKALUCO,4.8,4.5,0.3000002
MANAKCOAT,4.3,4.1,0.20000029
MANAKSIA,35.6,34.25,1.3499985
MANAKSTEEL,12.3,11.65,0.6500006
MANALIPETC,22,21.35,0.6499996
MANAPPURAM,194.8,185.7,9.100006
MANGALAM,35.4,33.5,1.9000015
MANGCHEFER,34.95,33.9,1.0499992
MANGLMCEM,304.5,294.95,9.549988
MANGTIMBER,10.5,10,0.5
MANINDS,53.45,52.5,0.95000076
MANINFRA,31,30.1,0.8999996
MANUGRAPH,15.35,14.6,0.75
MARALOVER,16.1,15.75,0.35000038
MARATHON,104.6,97.65,6.949997
MARICO,347.35,336.05,11.300018
MARINE,100.6,99.8,0.7999954
MARKSANS,20.35,18.95,1.3999996
MARSHALL,15.5,15.5,0.0
MARUTI,7116.25,6975,141.25
MASFIN,932,911.55,20.450012
MASTEK,448.4,417.15,31.25
MATRIMONY,479.85,468,11.850006
MAWANASUG,42.5,39.9,2.5999985
MAXINDIA,90.45,87.6,2.8499985
MAXVIL,54.6,52.8,1.7999992
MAYURUNIQ,245,239.7,5.300003
MAZDA,468,453,15.0
MBECL,4.6,4.35,0.25
MBLINFRA,4.3,4.05,0.25
MCDHOLDING,31.7,29.25,2.4500008
MCDOWELL-N,657.4,629.4,28.0
MCL,115.5,110.1,5.4000015
MCLEODRUSS,4.8,4.7,0.10000038
MCX,1398.15,1370,28.150024
MEGASOFT,7.7,7.4,0.2999997
MEGH,65.85,57.6,8.25
MELSTAR,3.9,3.9,0.0
MENONBE,59.9,58.05,1.8500023
MEP,39,38,1.0
MERCATOR,0.85,0.8,0.050000012
METALFORGE,5.75,5.75,0.0
METKORE,0.3,0.25,0.050000012
METROPOLIS,1710,1662.25,47.75
MFSL,517.55,508.05,9.5
MGEL,52.9,52.9,0.0
MGL,1245,1220,25.0
MHHL,21.25,21.25,0.0
MHRIL,238.95,235,3.949997
MIC,0.6,0.55,0.050000012
MIDHANI,172,166.1,5.899994
MILTON,10,10,0.0
MINDACORP,107,103.1,3.9000015
MINDAIND,420,402.9,17.100006
MINDPOOL,15,15,0.0
MINDTECK,29.05,27.95,1.0999985
MINDTREE,888.8,879,9.799988
MIRCELECTR,10.05,9.45,0.6000004
MIRZAINT,60.45,58.5,1.9500008
MMFL,439,427.85,11.149994
MMP,117,107,10.0
MMTC,21.7,21.1,0.6000004
MODIRUBBER,29.4,28.35,1.0499992
MOHITIND,3.55,3.5,0.049999952
MOHOTAIND,11.7,10.95,0.75
MOIL,157.4,148.55,8.849991
MOLDTECH,50.95,49.35,1.6000023
MOLDTKPAC,279.5,275.55,3.9500122
MONTECARLO,289,282.45,6.549988
MORARJEE,16.7,15.65,1.0500011
MOREPENLAB,15.65,15,0.6499996
MOTHERSUMI,142.65,139.7,2.949997
MOTILALOFS,834.8,805.55,29.25
MOTOGENFIN,34,32.5,1.5
MPHASIS,949.7,930.3,19.400024
MPSLTD,490.15,476.35,13.799988
MRF,70600,70000,600.0
MRPL,46.75,46,0.75
MSPL,6.4,5.9,0.5
MSTCLTD,135.4,124.6,10.799995
MTEDUCARE,16.4,15.45,0.9499998
MTNL,11.45,11,0.4499998
MUKANDENGG,12.9,12.35,0.54999924
MUKANDLTD,31.4,30.5,0.8999996
MUKANDLTD,5.65,5.3,0.3499999
MUKTAARTS,39.8,39,0.79999924
MUNJALAU,49.8,48.05,1.75
MUNJALSHOW,134.85,127.5,7.350006
MURUDCERA,20.8,19.65,1.1499996
MUTHOOTCAP,594,581.6,12.400024
MUTHOOTFIN,769.45,757.7,11.75
N100,647.99,640.1,7.8900146
NABARD,1202,1200.19,1.8100586
NACLIND,32,30.9,1.1000004
NAGAFERT,5.15,4.85,0.3000002
NAGREEKCAP,7.1,7.1,0.0
NAGREEKEXP,16.55,15.55,0.99999905
NAHARCAP,78.4,74.75,3.6500015
NAHARINDUS,28.75,27.1,1.6499996
NAHARPOLY,38.5,37,1.5
NAHARSPING,46.85,46,0.8499985
NAM-INDIA,369.9,361.1,8.799988
NARMADA,25.2,25.2,0.0
NATCOPHARM,654,636.5,17.5
NATHBIOGEN,363.7,341.2,22.5
NATIONALUM,45.8,44.6,1.2000008
NATNLSTEEL,1.8,1.8,0.0
NAUKRI,2849.85,2780,69.8501
NAVINFLUOR,1259,1210.15,48.849976
NAVKARCORP,30.4,28.7,1.6999989
NAVNETEDUL,96.85,95.25,1.5999985
NBCC,37.1,36.2,0.8999977
NBIFIN,1765,1618.1,146.90002
NBVENTURES,87.9,72.5,15.400002
NCC,58.3,57.5,0.79999924
NCLIND,95.95,93.1,2.8499985
NDGL,570.1,561,9.099976
NDL,33.6,32.05,1.5499992
NDTV,28.9,28.1,0.79999924
NECCLTD,6.05,5.7,0.35000038
NECLIFE,14.8,14.1,0.6999998
NELCAST,54.95,53.35,1.6000023
NELCO,234.75,230.15,4.600006
NEOGEN,392.5,370.1,22.399994
NESCO,745,735,10.0
NESTLEIND,15899.95,15440,459.9502
NETF,123.3,122.39,0.91000366
NETFCONSUM,55.55,54.29,1.2599983
NETFDIVOPP,29.76,29.51,0.25
NETFLTGILT,20.35,20.28,0.069999695
NETFMID150,67.99,67.2,0.7900009
NETFNIF100,126.88,125.68,1.199997
NETFNV20,59.48,58.83,0.6499977
NETWORK18,27.55,26.6,0.94999886
NEULANDLAB,489,455.05,33.950012
NEWGEN,241.55,228.1,13.449997
NEXTMEDIA,8.8,8.2,0.6000004
NFL,30.2,29.5,0.70000076
NH,389,366.8,22.200012
NHAI,1073.9,1071,2.9000244
NHAI,1186.5,1178.4,8.099976
NHAI,1298.5,1290,8.5
NHAI,1135,1134,1.0
NHAI,1199.99,1197.5,2.4899902
NHAI,1342.9,1126,216.90002
NHAI,1169.9,1130,39.900024
NHBTF2014,6575,6560,15.0
NHBTF2023,6578,6540,38.0
NHPC,27.75,26,1.75
NIACL,165,160,5.0
NIBL,5.95,5.85,0.099999905
NIFTYBEES,129.2,128.05,1.1499939
NIFTYEES,15716,15568,148.0
NIITLTD,101.5,100.15,1.3499985
NIITTECH,2042.55,1921,121.55005
NILAINFRA,5.8,5.35,0.4500003
NILASPACES,1.35,1.3,0.05000007
NILKAMAL,1469.75,1439.95,29.800049
NIPPOBATRY,524.45,516.25,8.200012
NITCO,30.2,28.95,1.25
NITINFIRE,0.4,0.35,0.050000012
NITINSPIN,60.9,57.05,3.8500023
NKIND,18.35,18.35,0.0
NLCINDIA,59.95,58.55,1.4000015
NMDC,125.95,121.5,4.449997
NOCIL,118.3,116.6,1.7000046
NOIDATOLL,3.65,3.4,0.25
NORBTEAEXP,3.85,3.85,0.0
NPBET,174.04,171.88,2.1599884
NRAIL,263,248.1,14.899994
NRBBEARING,101.7,99.25,2.449997
NSIL,786.65,751,35.650024
NTL,0.45,0.35,0.099999994
NTPC,114.9,111.75,3.1500015
NTPC,1143,1143,0.0
NTPC,1235,1235,0.0
NTPC,1349,1322,27.0
NTPC,13.98,13.81,0.16999912
NTPC,1105,1105,0.0
NTPC,1139,1139,0.0
NTPC,1201,1201,0.0
NUCLEUS,318.6,304.25,14.350006
NXTDIGITAL,397,375.2,21.799988
OAL,216.9,207.25,9.649994
OBEROIRLTY,559.15,542.2,16.950012
OCCL,1043.9,1020,23.900024
OFSS,2959.9,2878.05,81.84985
OIL,140.5,136.05,4.449997
OILCOUNTUB,5.6,5.5,0.099999905
OISL,3,2.85,0.1500001
OLECTRA,177.25,170.55,6.699997
OMAXAUTO,55,53,2.0
OMAXE,158.7,155.25,3.449997
OMKARCHEM,4.4,4.2,0.20000029
OMMETALS,24.2,23.6,0.6000004
ONELIFECAP,8.1,7.75,0.35000038
ONEPOINT,19.5,19,0.5
ONGC,118.15,116.45,1.7000046
ONMOBILE,30.2,29.4,0.80000114
ONWARDTEC,64.95,63.55,1.3999977
OPTIEMUS,30.9,29.5,1.3999996
OPTOCIRCUI,2.8,2.7,0.099999905
ORBTEXP,86.9,85.5,1.4000015
ORICONENT,19.8,19,0.79999924
ORIENTABRA,18,17.2,0.79999924
ORIENTALTL,10.45,9.5,0.9499998
ORIENTBANK,52.75,51.85,0.9000015
ORIENTBELL,132.65,126.2,6.449997
ORIENTCEM,85.9,83.05,2.8499985
ORIENTELEC,240.8,216.3,24.5
ORIENTHOT,33.55,32.5,1.0499992
ORIENTLTD,97.7,93.05,4.649994
ORIENTPPR,25.65,25.15,0.5
ORIENTREF,258,242.75,15.25
ORISSAMINE,1925,1786.7,138.30005
ORTEL,0.6,0.55,0.050000012
ORTINLABSS,9.75,9.2,0.5500002
OSWALAGRO,7.95,7.05,0.8999996
PAEL,2.95,2.8,0.1500001
PAGEIND,25399.2,24670,729.1992
PAISALO,301.3,280.1,21.199982
PALASHSECU,30.45,29.1,1.3500004
PALREDTEC,20.75,19.15,1.6000004
PANACEABIO,134.8,130,4.800003
PANACHE,67,65.25,1.75
PANAMAPET,67.9,65.4,2.5
PAPERPROD,256,249,7.0
PARABDRUGS,1.45,1.4,0.05000007
PARACABLES,9.1,8.15,0.95000076
PARAGMILK,146.95,143.05,3.899994
PARSVNATH,2.2,2.05,0.1500001
PASHUPATI,57.75,57.25,0.5
PATELENG,21.9,20.65,1.25
PATINTLOG,24.8,23.6,1.1999989
PATSPINLTD,4.25,4.25,0.0
PCJEWELLER,23.15,22.7,0.44999886
PDMJEPAPER,17,16.4,0.6000004
PDPL,2.75,2.65,0.099999905
PDSMFL,319.5,309,10.5
PEARLPOLY,17.25,16.45,0.79999924
PEL,1727.95,1687,40.94995
PENIND,26.3,25.7,0.5999985
PENINLAND,5.45,5.25,0.19999981
PENTAGOLD,23.7,23.7,0.0
PERSISTENT,737,694.15,42.849976
PETRONENGG,8,7.45,0.5500002
PETRONET,277.6,272.5,5.100006
PFC,119.5,116.6,2.9000015
PFC,1071.4,1070,1.4000244
PFC,1105.15,1105.15,0.0
PFC,1316.5,1314.99,1.5100098
PFIZER,4395,4286,109.0
PFOCUS,43.25,41.7,1.5499992
PFS,15.95,15.05,0.8999996
PGEL,77.6,74.8,2.7999954
PGHH,11250.5,10980,270.5
PGHL,4455,4388,67.0
PGIL,154,150.1,3.899994
PHILIPCARB,139.45,134.5,4.949997
PHOENIXLTD,862.5,828.5,34.0
PIDILITIND,1509.9,1466.2,43.700073
PIIND,1587.9,1522.05,65.849976
PILANIINVS,1790,1770.85,19.150024
PILITA,6.2,6,0.19999981
PIONDIST,136.9,126.55,10.349991
PIONEEREMB,31.95,30.6,1.3500004
PITTIENG,45.2,44,1.2000008
PKTEA,137.5,126.5,11.0
PLASTIBLEN,202.95,196.4,6.550003
PNB,61.5,60.8,0.70000076
PNBGILTS,28.35,28.1,0.25
PNBHOUSING,457.9,445,12.899994
PNC,16.6,16,0.6000004
PNCINFRA,205.35,193.25,12.100006
PODDARHOUS,299,291,8.0
PODDARMENT,196.6,185.1,11.5
POKARNA,115,108.15,6.8499985
POLYCAB,1010,981,29.0
POLYMED,312.3,257.3,55.0
POLYPLEX,582.95,567.55,15.400024
PONNIERODE,165,158.3,6.699997
POWERGRID,193.8,189.25,4.550003
POWERMECH,760,729.95,30.049988
PPAP,204.8,196,8.800003
PPL,64.9,62.5,2.4000015
PRABHAT,85.7,84.05,1.6499939
PRADIP,0.55,0.5,0.050000012
PRAENG,6.65,6.35,0.3000002
PRAJIND,116.45,114.15,2.2999954
PRAKASH,51.65,48.3,3.3500023
PRAKASHSTL,0.25,0.25,0.0
PRECAM,40.5,40,0.5
PRECOT,27.95,24.7,3.25
PRECWIRE,171,164.1,6.899994
PREMEXPLN,147.9,143,4.899994
PREMIER,2.2,2.1,0.10000014
PREMIERPOL,24.75,22.3,2.4500008
PRESSMN,27.55,26.4,1.1499996
PRESTIGE,388.75,375,13.75
PRICOLLTD,59.7,56.5,3.2000008
PRIMESECU,42.3,41.25,1.0499992
PRINCEPIPE,183.6,176.5,7.100006
PRITI,97,85,12.0
PROSEED,0.3,0.25,0.050000012
PROZONINTU,19.55,19,0.54999924
PRSMJOHNSN,72.4,70.65,1.75
PSB,19.9,19.55,0.35000038
PSL,0.5,0.45,0.050000012
PSPPROJECT,545,524,21.0
PSUBNKBEES,26.42,26.08,0.34000015
PTC,60.7,59.55,1.1500015
PTL,37.75,37.05,0.70000076
PUNJABCHEM,543.95,510,33.950012
PUNJLLOYD,1.15,1.05,0.100000024
PURVA,71.4,68.65,2.75
PUSHPREALM,5.9,5.9,0.0
PVR,1965,1934,31.0
QGOLDHALF,1767,1759,8.0
QNIFTY,1247,1247,0.0
QUESS,632,595,37.0
QUICKHEAL,133.2,130.4,2.800003
RADAAN,1.05,1.05,0.0
RADICO,399.1,382.8,16.300018
RADIOCITY,27.5,26.45,1.0499992
RAIN,117.8,114.1,3.7000046
RAJESHEXPO,729.95,715.75,14.200012
RAJRAYON,0.1,0.05,0.05
RAJSREESUG,22.45,20.5,1.9500008
RAJTV,46,41.9,4.0999985
RAJVIR,10.9,10.9,0.0
RALLIS,246.6,226.6,20.0
RAMANEWS,15.9,14.7,1.1999998
RAMASTEEL,54,49.5,4.5
RAMCOCEM,859.5,801.15,58.349976
RAMCOIND,208.75,197,11.75
RAMCOSYS,200.25,186.8,13.449997
RAMKY,34.8,31.65,3.1499996
RAMSARUP,0.4,0.4,0.0
RANASUG,6.05,5.55,0.5
RANEENGINE,261.35,237.1,24.25
RANEHOLDIN,819.05,775,44.049988
RATNAMANI,1232,1203.85,28.150024
RAYMOND,665.85,652.55,13.299988
RBL,626.9,596,30.900024
RBLBANK,343.75,334.2,9.549988
RCF,57.45,56.05,1.4000015
RCOM,0.85,0.75,0.100000024
